Region,Year,ID,Category,Sub Category 1,Sub Category 2,MI (40),ID (42),DD (43),BI (47),Admin (44),Other,Total
Care Connections of Northern Iowa,2021,42397,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Psychiatric Rehabilitation,,,,,,,
Care Connections of Northern Iowa,2021,3371,Other Informational Services,,Information and Referral Services,,,,,,,
Care Connections of Northern Iowa,2021,4372,Other Informational Services,,Planning and/or Consultation Services (Client Related),,,,,,,
Care Connections of Northern Iowa,2021,4377,Other Informational Services,,MHDS Contract Provider Incentive Payment,,,,,,,
Care Connections of Northern Iowa,2021,4399,Other Informational Services,,Consultation,,,,,,,
Care Connections of Northern Iowa,2021,4429,Other Informational Services,,Planning and Management Consultants (Non-Client Related),,,,,,,
Care Connections of Northern Iowa,2021,5373,Other Informational Services,,Public Education Services,383249.43,,,,,,383249.43
Care Connections of Northern Iowa,2021,6399,Community Living Support Services,,Academic Services,,,,,,,
Care Connections of Northern Iowa,2021,22XXX,Community Living Support Services,,Services management,230132.68,,,,,,230132.68
Care Connections of Northern Iowa,2021,23XXX,Community Living Support Services,,Crisis Care Coordination,,,,,,,
Care Connections of Northern Iowa,2021,31XXX,Community Living Support Services,,Transportation,7682.63,,,,,,7682.63
Care Connections of Northern Iowa,2021,32321,Community Living Support Services,,Support Services - Chore Services,,,,,,,
Care Connections of Northern Iowa,2021,32326,Community Living Support Services,,Support Services - Guardian/Conservator,,,,,,,
Care Connections of Northern Iowa,2021,32327,Community Living Support Services,,Support Services - Representative Payee,,,,,,,
Care Connections of Northern Iowa,2021,32335,Community Living Support Services,,Consumer-Directed Attendant Care,,,,,,,
Care Connections of Northern Iowa,2021,32399,Community Living Support Services,,Support Services - Other,,,,,,,
Care Connections of Northern Iowa,2021,33330,Community Living Support Services,,Mobile Meals,,,,,,,
Care Connections of Northern Iowa,2021,33340,Community Living Support Services,,Basic Needs - Rent Payments,6638,,,,,,6638
Care Connections of Northern Iowa,2021,33345,Community Living Support Services,,Basic Needs - Ongoing Rent Subsidy,,,,,,,
Care Connections of Northern Iowa,2021,33399,Community Living Support Services,,Basic Needs - Other,20347.77,,,,,,20347.77
Care Connections of Northern Iowa,2021,41305,Community Living Support Services,,Physiological Treatment - Outpatient,,,,,,,
Care Connections of Northern Iowa,2021,41306,Community Living Support Services,,Physiological Treatment - Prescription Medicine/Vaccines,,,,,,,
Care Connections of Northern Iowa,2021,41307,Community Living Support Services,,Physiological Treatment - In-Home Nursing,9750,,,,,,9750
Care Connections of Northern Iowa,2021,41308,Community Living Support Services,,Physiological Treatment - Health Supplies and Equipment,,,,,,,
Care Connections of Northern Iowa,2021,41399,Community Living Support Services,,Physiological Treatment - Other,,,,,,,
Care Connections of Northern Iowa,2021,42309,Community Living Support Services,,Psychotherapeutic Treatment - Partial Hospitalization,,,,,,,
Care Connections of Northern Iowa,2021,42310,Community Living Support Services,,Psychotherapeutic Treatment - Transitional Living Program,,,,,,,
Care Connections of Northern Iowa,2021,42363,Community Living Support Services,,Psychotherapeutic Treatment - Day Treatment Services,,,,,,,
Care Connections of Northern Iowa,2021,42396,Community Living Support Services,,Psychotherapeutic Treatment - Community Support Programs,,,,,,,
Care Connections of Northern Iowa,2021,42399,Community Living Support Services,,Psychotherapeutic Treatment - Other,,,,,,,
Care Connections of Northern Iowa,2021,44304,Community Living Support Services,,Crisis Services - Emergency Care,,,,,,,
Care Connections of Northern Iowa,2021,44399,Community Living Support Services,,Other Crisis Services,,,,,,,
Care Connections of Northern Iowa,2021,46306,Community Living Support Services,,Prescription Medication (Psychiatric Medications in Jail),5151.7,,,,,,5151.7
Care Connections of Northern Iowa,2021,50361,Community Living Support Services,,Vocational Skills Training,,,,,,,
Care Connections of Northern Iowa,2021,50365,Community Living Support Services,,Supported Education,,,,,,,
Care Connections of Northern Iowa,2021,50399,Community Living Support Services,,Voc/Day - Day Habilitation,,,,,,,
Care Connections of Northern Iowa,2021,63310,Community Living Support Services,,Comm Based Settings (1-5 Bed) - Assisted Living,,,,,,,
Care Connections of Northern Iowa,2021,63329,Community Living Support Services,,Comm Based Settings (1-5 Bed) - Supported Community Living,,,,,,,
Care Connections of Northern Iowa,2021,63399,Community Living Support Services,,Comm Based Settings (1-5 Bed) - Other,,,,,,,
Care Connections of Northern Iowa,2021,63XXX,Community Living Support Services,,ICF 1-5 beds,,,,,,,
Care Connections of Northern Iowa,2021,63XXX,Community Living Support Services,,RCF 1-5 beds,,,,,,,
Care Connections of Northern Iowa,2021,50360,Congregate Services,,Voc/Day - Sheltered Workshop Services,,,,,,,
Care Connections of Northern Iowa,2021,64310,Congregate Services,,Comm Based Settings (6+ Beds) - Assisted Living,,,,,,,
Care Connections of Northern Iowa,2021,64329,Congregate Services,,Comm Based Settings (6+ Beds) - Supported Community Living,,,,,,,
Care Connections of Northern Iowa,2021,64399,Congregate Services,,Comm Based Settings (6+ Beds) - Other,,,,,,,
Care Connections of Northern Iowa,2021,64XXX,Congregate Services,,ICF-6 and over beds,,,,,,,
Care Connections of Northern Iowa,2021,64XXX,Congregate Services,,RCF-6 and over beds,229803.25,,,,,,229803.25
Care Connections of Northern Iowa,2021,11XXX,Administration,,Direct Administration,,,,,162572.91,,162572.91
Care Connections of Northern Iowa,2021,12XXX,Administration,,Purchased Administration,,,,,65933.84,,65933.84
Care Connections of Northern Iowa,2021,15481,Administration,,Distribution to other MHDS Regions: Payments to other government or organization,,,,,,,
Care Connections of Northern Iowa,2021,13951,Uncategorized,,Distribution to MHDS Regional Fiscal Agent - Contributions to Other Governments and Organizations,,,,,1358185,,1358185
Care Connections of Northern Iowa,2021,33332,Uncategorized,,Basic Needs - Food and Provisions,,,,,,,
Sioux Rivers Regional MHDS,2021,42305,Core,Psychotherapeutic Treatment - Outpatient,Treatment,129959.61,,,,,,129959.61
Sioux Rivers Regional MHDS,2021,42306,Core,Psychotherapeutic Treatment - Medication Prescribing,Treatment,90000,,,,,,90000
Sioux Rivers Regional MHDS,2021,43301,Core,Evaluation (Non Crisis) - Assessment and Evaluation,Treatment,313.5,,,,,,313.5
Sioux Rivers Regional MHDS,2021,71319,Core,State MHI Inpatient - Per diem charges,Treatment,,,,,,,
Sioux Rivers Regional MHDS,2021,73319,Core,Other Priv./Public Hospitals - Inpatient per diem charges,Treatment,2688,,,,,,2688
Sioux Rivers Regional MHDS,2021,32322,Core,Support Services - Personal Emergency Response System,Basic Crisis Response,,,,,,,
Sioux Rivers Regional MHDS,2021,44301,Core,Crisis Evaluation,Basic Crisis Response,10760,,,,,,10760
Sioux Rivers Regional MHDS,2021,44302,Core,23 Hour Observation and Holding,Basic Crisis Response,83943.34,,,,,,83943.34
Sioux Rivers Regional MHDS,2021,44305,Core,24 Hour Crisis Response,Basic Crisis Response,109173.36,,,,,,109173.36
Sioux Rivers Regional MHDS,2021,44307,Core,Mobile Response,Basic Crisis Response,259080,,,,,,259080
Sioux Rivers Regional MHDS,2021,44312,Core,Crisis Stabilization Community Based Services (CSCBS),Basic Crisis Response,,,,,,,
Sioux Rivers Regional MHDS,2021,44313,Core,Crisis Stabilization Residential Service (CSRS),Basic Crisis Response,97426.88,,,,,,97426.88
Sioux Rivers Regional MHDS,2021,44396,Core,Access Center start-up/sustainability/coordination,Basic Crisis Response,,,,,,,
Sioux Rivers Regional MHDS,2021,32320,Core,Support Services - Home Health Aides,Support for Community Living,,,,,,,
Sioux Rivers Regional MHDS,2021,32325,Core,Support Services - Respite Services,Support for Community Living,10000,10000,,,,,20000
Sioux Rivers Regional MHDS,2021,32328,Core,Support Services - Home/Vehicle Modification,Support for Community Living,,,,,,,
Sioux Rivers Regional MHDS,2021,32329,Core,Support Services - Supported Community Living,Support for Community Living,13549.1,12219.78,,,,,25768.88
Sioux Rivers Regional MHDS,2021,42329,Core,Psychotherapeutic Treatment - Intensive Residential Services,Support for Community Living,,,,,,,
Sioux Rivers Regional MHDS,2021,50362,Core,Voc/Day - Prevocational Services,Support For Employment,,,,,,,
Sioux Rivers Regional MHDS,2021,50364,Core,Voc/Day - Job Development,Support For Employment,,,,,,,
Sioux Rivers Regional MHDS,2021,50367,Core,Day Habilitation,Support For Employment,,23567.55,,,,,23567.55
Sioux Rivers Regional MHDS,2021,50368,Core,Voc/Day - Individual Supported Employment,Support For Employment,68010.41,85491.81,3474.12,,,,156976.34
Sioux Rivers Regional MHDS,2021,50369,Core,Voc/Day - Group Supported Employment,Support For Employment,,,,,,,
Sioux Rivers Regional MHDS,2021,45323,Core,Peer Family Support - Family Support,Recovery Services,,,,,,,
Sioux Rivers Regional MHDS,2021,45366,Core,Peer Family Support - Peer Support Services,Recovery Services,37400.32,,,,,,37400.32
Sioux Rivers Regional MHDS,2021,21375,Core,Case Management - 100% County,Service Coordination,,,,,,,
Sioux Rivers Regional MHDS,2021,24376,Core,Health Homes Coordination - Coordination Services,Service Coordination,,,,,,,
Sioux Rivers Regional MHDS,2021,63309,Core,Sub Acute Services (1-5 Beds),Sub-Acute Services,,,,,,,
Sioux Rivers Regional MHDS,2021,64309,Core,Sub Acute Services (6+ Beds),Sub-Acute Services,,,,,,,
Sioux Rivers Regional MHDS,2021,4422,Core,Consultation - Educational and Training Services,Core Evidence Based Treatment,,,,,,,
Sioux Rivers Regional MHDS,2021,32396,Core,Supported Housing,Core Evidence Based Treatment,,,,,,,
Sioux Rivers Regional MHDS,2021,42398,Core,Assertive Community Treatment (ACT),Core Evidence Based Treatment,,,,,,,
Sioux Rivers Regional MHDS,2021,45373,Core,Peer Family Support - Family Psycho-Education,Core Evidence Based Treatment,,,,,,,
Sioux Rivers Regional MHDS,2021,46319,Mandated,Iowa Medical and Classification Center (Oakdale),,,,,,,,
Sioux Rivers Regional MHDS,2021,72319,Mandated,State Hospital Schools - Inpatient per diem charges,,,,,,,,
Sioux Rivers Regional MHDS,2021,74XXX,Mandated,CommitmentRelated (except 301),,39932.67,,,,,,39932.67
Sioux Rivers Regional MHDS,2021,75XXX,Mandated,Mental health advocate,,75806.03,,,,,,75806.03
Sioux Rivers Regional MHDS,2021,25XXX,Core Plus,Coordination services,Justice System Involved Services,,,,,,,
Sioux Rivers Regional MHDS,2021,44346,Core Plus,Crisis Services - Telephone Crisis Service,Justice System Involved Services,,,,,,,
Sioux Rivers Regional MHDS,2021,44366,Core Plus,Warm-Line,Justice System Involved Services,,,,,,,
Sioux Rivers Regional MHDS,2021,46305,Core Plus,Mental Health Services in Jails,Justice System Involved Services,38140.57,,,,,,38140.57
Sioux Rivers Regional MHDS,2021,46399,Core Plus,Justice System - Involved Services - Other,Justice System Involved Services,,,,,,,
Sioux Rivers Regional MHDS,2021,46422,Core Plus,Crisis Prevention Training,Justice System Involved Services,,,,,,,
Sioux Rivers Regional MHDS,2021,46425,Core Plus,Mental Health Court related expenses,Justice System Involved Services,,,,,,,
Sioux Rivers Regional MHDS,2021,74301,Core Plus,Commitment - Civil Prescreening,Justice System Involved Services,,,,,,,
Sioux Rivers Regional MHDS,2021,42366,Core Plus,Psychotherapeutic Treatment - Social Support Services,Additional Core Evidence Based Treatment,65000.03,,,,,,65000.03
Sioux Rivers Regional MHDS,2021,42397,Core Plus,Psychotherapeutic Treatment - Psychiatric Rehabilitation,Additional Core Evidence Based Treatment,,,,,,,
Sioux Rivers Regional MHDS,2021,3371,Other Informational Services,Information and Referral Services,,,,,,,,
Sioux Rivers Regional MHDS,2021,4372,Other Informational Services,Planning and/or Consultation Services (Client Related),,130821.24,,,,,,130821.24
Sioux Rivers Regional MHDS,2021,4377,Other Informational Services,MHDS Contract Provider Incentive Payment,,,,,,,,
Sioux Rivers Regional MHDS,2021,4399,Other Informational Services,Consultation,,,,,,,,
Sioux Rivers Regional MHDS,2021,4429,Other Informational Services,Planning and Management Consultants (Non-Client Related),,,,,,,,
Sioux Rivers Regional MHDS,2021,5373,Other Informational Services,Public Education Services,,596077.27,,,,,,596077.27
Sioux Rivers Regional MHDS,2021,6399,Community Living Support Services,Academic Services,,,,,,,,
Sioux Rivers Regional MHDS,2021,22XXX,Community Living Support Services,Services management,,272318.33,33341.88,,,,,305660.21
Sioux Rivers Regional MHDS,2021,23XXX,Community Living Support Services,Crisis Care Coordination,,,,,,,,
Sioux Rivers Regional MHDS,2021,31XXX,Community Living Support Services,Transportation,,2721.24,,,,,,2721.24
Sioux Rivers Regional MHDS,2021,32321,Community Living Support Services,Support Services - Chore Services,,,,,,,,
Sioux Rivers Regional MHDS,2021,32326,Community Living Support Services,Support Services - Guardian/Conservator,,,,,,,,
Sioux Rivers Regional MHDS,2021,32327,Community Living Support Services,Support Services - Representative Payee,,,,,,,,
Sioux Rivers Regional MHDS,2021,32335,Community Living Support Services,Consumer-Directed Attendant Care,,,,,,,,
Sioux Rivers Regional MHDS,2021,32399,Community Living Support Services,Support Services - Other,,,,,,,,
Sioux Rivers Regional MHDS,2021,33330,Community Living Support Services,Mobile Meals,,,,,,,,
Sioux Rivers Regional MHDS,2021,33340,Community Living Support Services,Basic Needs - Rent Payments,,1250,,,,,,1250
Sioux Rivers Regional MHDS,2021,33345,Community Living Support Services,Basic Needs - Ongoing Rent Subsidy,,,,,,,,
Sioux Rivers Regional MHDS,2021,33399,Community Living Support Services,Basic Needs - Other,,43617.57,,,,,,43617.57
Sioux Rivers Regional MHDS,2021,41305,Community Living Support Services,Physiological Treatment - Outpatient,,,,,,,,
Sioux Rivers Regional MHDS,2021,41306,Community Living Support Services,Physiological Treatment - Prescription Medicine/Vaccines,,,,,,,,
Sioux Rivers Regional MHDS,2021,41307,Community Living Support Services,Physiological Treatment - In-Home Nursing,,,,,,,,
Sioux Rivers Regional MHDS,2021,41308,Community Living Support Services,Physiological Treatment - Health Supplies and Equipment,,,,,,,,
Sioux Rivers Regional MHDS,2021,41399,Community Living Support Services,Physiological Treatment - Other,,,,,,,,
Sioux Rivers Regional MHDS,2021,42309,Community Living Support Services,Psychotherapeutic Treatment - Partial Hospitalization,,,,,,,,
Sioux Rivers Regional MHDS,2021,42310,Community Living Support Services,Psychotherapeutic Treatment - Transitional Living Program,,,,,,,,
Sioux Rivers Regional MHDS,2021,42363,Community Living Support Services,Psychotherapeutic Treatment - Day Treatment Services,,,,,,,,
Sioux Rivers Regional MHDS,2021,42396,Community Living Support Services,Psychotherapeutic Treatment - Community Support Programs,,725,,,,,,725
Sioux Rivers Regional MHDS,2021,42399,Community Living Support Services,Psychotherapeutic Treatment - Other,,,,,,,,
Sioux Rivers Regional MHDS,2021,44304,Community Living Support Services,Crisis Services - Emergency Care,,,,,,,,
Sioux Rivers Regional MHDS,2021,44399,Community Living Support Services,Other Crisis Services,,,,,,,,
Sioux Rivers Regional MHDS,2021,46306,Community Living Support Services,Prescription Medication (Psychiatric Medications in Jail),,,,,,,,
Sioux Rivers Regional MHDS,2021,50361,Community Living Support Services,Vocational Skills Training,,,,,,,,
Sioux Rivers Regional MHDS,2021,50365,Community Living Support Services,Supported Education,,,,,,,,
Sioux Rivers Regional MHDS,2021,50399,Community Living Support Services,Voc/Day - Day Habilitation,,,,,,,,
Sioux Rivers Regional MHDS,2021,63310,Community Living Support Services,Comm Based Settings (1-5 Bed) - Assisted Living,,,,,,,,
Sioux Rivers Regional MHDS,2021,63329,Community Living Support Services,Comm Based Settings (1-5 Bed) - Supported Community Living,,194791.57,,,,,,194791.57
Sioux Rivers Regional MHDS,2021,63399,Community Living Support Services,Comm Based Settings (1-5 Bed) - Other,,,,,,,,
Sioux Rivers Regional MHDS,2021,63XXX,Community Living Support Services,ICF 1-5 beds,,,,,,,,
Sioux Rivers Regional MHDS,2021,63XXX,Community Living Support Services,RCF 1-5 beds,,,,,,,,
Sioux Rivers Regional MHDS,2021,50360,Congregate Services,Voc/Day - Sheltered Workshop Services,,,,,,,,
Sioux Rivers Regional MHDS,2021,64310,Congregate Services,Comm Based Settings (6+ Beds) - Assisted Living,,,,,,,,
Sioux Rivers Regional MHDS,2021,64329,Congregate Services,Comm Based Settings (6+ Beds) - Supported Community Living,,,,,,,,
Sioux Rivers Regional MHDS,2021,64399,Congregate Services,Comm Based Settings (6+ Beds) - Other,,,,,,,,
Sioux Rivers Regional MHDS,2021,64XXX,Congregate Services,ICF-6 and over beds,,,,,,,,
Sioux Rivers Regional MHDS,2021,64XXX,Congregate Services,RCF-6 and over beds,,285836.13,,,,,,285836.13
Sioux Rivers Regional MHDS,2021,11XXX,Administration,Direct Administration,,,,,,421640.65,,421640.65
Sioux Rivers Regional MHDS,2021,12XXX,Administration,Purchased Administration,,,,,,9906,,9906
Sioux Rivers Regional MHDS,2021,15481,Administration,Distribution to other MHDS Regions: Payments to other government or organization,,,,,,,,
Sioux Rivers Regional MHDS,2021,13951,Uncategorized,Distribution to MHDS Regional Fiscal Agent - Contributions to Other Governments and Organizations,,,,,,2781804,,2781804
Southeast Iowa Link,2021,42305,Core,Treatment,Psychotherapeutic Treatment - Outpatient,150265.36,,,,,,150265.36
Southeast Iowa Link,2021,42306,Core,Treatment,Psychotherapeutic Treatment - Medication Prescribing,38848.23,,,,,,38848.23
Southeast Iowa Link,2021,43301,Core,Treatment,Evaluation (Non Crisis) - Assessment and Evaluation,10030,,,,,,10030
Southeast Iowa Link,2021,71319,Core,Treatment,State MHI Inpatient - Per diem charges,360848.28,,,,,,360848.28
Southeast Iowa Link,2021,73319,Core,Treatment,Other Priv./Public Hospitals - Inpatient per diem charges,,,,,,,
Southeast Iowa Link,2021,32322,Core,Basic Crisis Response,Support Services - Personal Emergency Response System,,,,,,,
Southeast Iowa Link,2021,44301,Core,Basic Crisis Response,Crisis Evaluation,580374.47,,,,,,580374.47
Southeast Iowa Link,2021,44302,Core,Basic Crisis Response,23 Hour Observation and Holding,7478.84,,,,,,7478.84
Southeast Iowa Link,2021,44305,Core,Basic Crisis Response,24 Hour Crisis Response,,,,,,,
Southeast Iowa Link,2021,44307,Core,Basic Crisis Response,Mobile Response,141714.17,,,,,,141714.17
Southeast Iowa Link,2021,44312,Core,Basic Crisis Response,Crisis Stabilization Community Based Services (CSCBS),,,,,,,
Southeast Iowa Link,2021,44313,Core,Basic Crisis Response,Crisis Stabilization Residential Service (CSRS),1086984.12,,,,,,1086984.12
Southeast Iowa Link,2021,44396,Core,Basic Crisis Response,Access Center start-up/sustainability/coordination,49350.05,,,,,,49350.05
Southeast Iowa Link,2021,32320,Core,Support for Community Living,Support Services - Home Health Aides,,,,,,,
Southeast Iowa Link,2021,32325,Core,Support for Community Living,Support Services - Respite Services,,,,,,,
Southeast Iowa Link,2021,32328,Core,Support for Community Living,Support Services - Home/Vehicle Modification,,,,,,,
Southeast Iowa Link,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,197538.88,,11326.16,,,,208865.04
Southeast Iowa Link,2021,42329,Core,Support for Community Living,Psychotherapeutic Treatment - Intensive Residential Services,,,,,,,
Southeast Iowa Link,2021,50362,Core,Support For Employment,Voc/Day - Prevocational Services,,,,,,,
Southeast Iowa Link,2021,50364,Core,Support For Employment,Voc/Day - Job Development,,,,,,,
Southeast Iowa Link,2021,50367,Core,Support For Employment,Day Habilitation,12600,,3771.45,,,,16371.45
Southeast Iowa Link,2021,50368,Core,Support For Employment,Voc/Day - Individual Supported Employment,1020.09,,7434.71,,,,8454.8
Southeast Iowa Link,2021,50369,Core,Support For Employment,Voc/Day - Group Supported Employment,133.48,,1948.24,,,,2081.72
Southeast Iowa Link,2021,45323,Core,Recovery Services,Peer Family Support - Family Support,6190,,,,,,6190
Southeast Iowa Link,2021,45366,Core,Recovery Services,Peer Family Support - Peer Support Services,405.42,,,,,,405.42
Southeast Iowa Link,2021,21375,Core,Service Coordination,Case Management - 100% County,,,,,,,
Southeast Iowa Link,2021,24376,Core,Service Coordination,Health Homes Coordination - Coordination Services,73857.58,,,,,,73857.58
Southeast Iowa Link,2021,63309,Core,Sub-Acute Services,Sub Acute Services (1-5 Beds),9800,,,,,,9800
Southeast Iowa Link,2021,64309,Core,Sub-Acute Services,Sub Acute Services (6+ Beds),,,,,,,
Southeast Iowa Link,2021,4422,Core,Core Evidence Based Treatment,Consultation - Educational and Training Services,25641.92,,,,,,25641.92
Southeast Iowa Link,2021,32396,Core,Core Evidence Based Treatment,Supported Housing,15290.57,,,,,,15290.57
Southeast Iowa Link,2021,42398,Core,Core Evidence Based Treatment,Assertive Community Treatment (ACT),1274.46,,,,,,1274.46
Southeast Iowa Link,2021,45373,Core,Core Evidence Based Treatment,Peer Family Support - Family Psycho-Education,,,,,,,
Southeast Iowa Link,2021,46319,Mandated,,Iowa Medical and Classification Center (Oakdale),,,,,,,
Southeast Iowa Link,2021,72319,Mandated,,State Hospital Schools - Inpatient per diem charges,,,,,,,
Southeast Iowa Link,2021,74XXX,Mandated,,CommitmentRelated (except 301),131196.59,,,,,,131196.59
Southeast Iowa Link,2021,75XXX,Mandated,,Mental health advocate,141081.47,,,,,,141081.47
Southeast Iowa Link,2021,25XXX,Core Plus,Justice System Involved Services,Coordination services,158021.1,,,,,,158021.1
Southeast Iowa Link,2021,44346,Core Plus,Justice System Involved Services,Crisis Services - Telephone Crisis Service,24730.63,,,,,,24730.63
Southeast Iowa Link,2021,44366,Core Plus,Justice System Involved Services,Warm-Line,,,,,,,
Southeast Iowa Link,2021,46305,Core Plus,Justice System Involved Services,Mental Health Services in Jails,,,,,,,
Southeast Iowa Link,2021,46399,Core Plus,Justice System Involved Services,Justice System - Involved Services - Other,,,,,,,
Southeast Iowa Link,2021,46422,Core Plus,Justice System Involved Services,Crisis Prevention Training,31665.51,,,,,,31665.51
Southeast Iowa Link,2021,46425,Core Plus,Justice System Involved Services,Mental Health Court related expenses,,,,,,,
Southeast Iowa Link,2021,74301,Core Plus,Justice System Involved Services,Commitment - Civil Prescreening,,,,,,,
Southeast Iowa Link,2021,42366,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Social Support Services,682054.17,16852.43,7442.27,,,,706348.87
Southeast Iowa Link,2021,42397,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Psychiatric Rehabilitation,,,,,,,
Southeast Iowa Link,2021,3371,Other Informational Services,,Information and Referral Services,,,,,,,
Southeast Iowa Link,2021,4372,Other Informational Services,,Planning and/or Consultation Services (Client Related),268.35,,,,,,268.35
Southeast Iowa Link,2021,4377,Other Informational Services,,MHDS Contract Provider Incentive Payment,,,,,,,
Southeast Iowa Link,2021,4399,Other Informational Services,,Consultation,,,,,,,
