Region,Year,ID,Category,Sub Category 1,Sub Category 2,MI (40) (Adult),MI (40) (Child),ID(42) (Adult),ID(42) (Child),DD(43) (Adult),DD(43) (Child),BI (47) (Adult),BI (47) (Child),Other (Adult),Other (Child),Total
Central Iowa Community Services,2021,50369,Core,Support For Employment,Voc/Day - Group Supported Employment,,,,,1,,,,,,1
Central Iowa Community Services,2021,42398,Core,Core Evidence Based Treatment,Assertive Community Treatment (ACT),18,,,,,,,,,,18
Central Iowa Community Services,2021,74XXX,Mandated,,CommitmentRelated (except 301),427,63,2,1,,,,,,,493
Central Iowa Community Services,2021,75XXX,Mandated,,Mental health advocate,436,44,,,,,,,,,480
Central Iowa Community Services,2021,25XXX,Core Plus,Justice System Involved Services,Coordination services,168,,,,,,,,,,168
Central Iowa Community Services,2021,46305,Core Plus,Justice System Involved Services,Mental Health Services in Jails,373,1,,,,,,,,,374
Central Iowa Community Services,2021,46399,Core Plus,Justice System Involved Services,Justice System - Involved Services - Other,5,,,,,,,,,,5
Central Iowa Community Services,2021,42366,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Social Support Services,355,2,197,1,16,,3,,,,574
Central Iowa Community Services,2021,42397,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Psychiatric Rehabilitation,7,1,,,,,,,,,8
Central Iowa Community Services,2021,22XXX,Community Living Support Services,,Services management,2098,379,40,2,39,,4,,,,2562
Central Iowa Community Services,2021,31XXX,Community Living Support Services,,Transportation,252,122,3,,5,,,,,,382
Central Iowa Community Services,2021,32327,Community Living Support Services,,Support Services - Representative Payee,26,,5,,3,,,,,,34
Central Iowa Community Services,2021,33340,Community Living Support Services,,Basic Needs - Rent Payments,32,1,1,,,,,,,,34
Central Iowa Community Services,2021,33399,Community Living Support Services,,Basic Needs - Other,21,,1,,1,,,,,,23
Central Iowa Community Services,2021,41306,Community Living Support Services,,Physiological Treatment - Prescription Medicine/Vaccines,4,,,,,,,,,,4
Central Iowa Community Services,2021,42310,Community Living Support Services,,Psychotherapeutic Treatment - Transitional Living Program,30,,,,,,,,,,30
Central Iowa Community Services,2021,46306,Community Living Support Services,,Prescription Medication (Psychiatric Medications in Jail),340,1,,,,,,,,,341
Central Iowa Community Services,2021,64XXX,Congregate Services,,RCF-6 and over beds,28,,,,,,,,,,28
Cross Rural Offices of Social Services,2021,71319,Core,Treatment,State MHI Inpatient - Per diem charges,4,,,,,,,,,,4
Cross Rural Offices of Social Services,2021,44301,Core,Basic Crisis Response,Crisis Evaluation,216,113,,,,,,,,,329
Cross Rural Offices of Social Services,2021,44302,Core,Basic Crisis Response,23 Hour Observation and Holding,5,1,,,,,,,,,6
Cross Rural Offices of Social Services,2021,44305,Core,Basic Crisis Response,24 Hour Crisis Response,1,1,,,,,,,,,2
Cross Rural Offices of Social Services,2021,44307,Core,Basic Crisis Response,Mobile Response,35,5,,,,,,,,,40
Cross Rural Offices of Social Services,2021,44312,Core,Basic Crisis Response,Crisis Stabilization Community Based Services (CSCBS),1,,,,,,,,,,1
Cross Rural Offices of Social Services,2021,44313,Core,Basic Crisis Response,Crisis Stabilization Residential Service (CSRS),16,1,,,,,,,,,17
Cross Rural Offices of Social Services,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,5,,2,,1,,,,,,8
Cross Rural Offices of Social Services,2021,50368,Core,Support For Employment,Voc/Day - Individual Supported Employment,,,,,1,,,,,,1
Cross Rural Offices of Social Services,2021,24376,Core,Service Coordination,Health Homes Coordination - Coordination Services,1,,,,,,,,,,1
Cross Rural Offices of Social Services,2021,63309,Core,Sub-Acute Services,Sub Acute Services (1-5 Beds),1,,,,,,,,,,1
Cross Rural Offices of Social Services,2021,64309,Core,Sub-Acute Services,Sub Acute Services (6+ Beds),5,,,,,,,,,,5
Cross Rural Offices of Social Services,2021,32396,Core,Core Evidence Based Treatment,Supported Housing,26,,,,,,,,,,26
Cross Rural Offices of Social Services,2021,42398,Core,Core Evidence Based Treatment,Assertive Community Treatment (ACT),2,,,,,,,,,,2
Cross Rural Offices of Social Services,2021,74XXX,Mandated,,CommitmentRelated (except 301),92,,,,,,,,,,92
Cross Rural Offices of Social Services,2021,75XXX,Mandated,,Mental health advocate,49,1,,,,,,,,,50
Cross Rural Offices of Social Services,2021,46305,Core Plus,Justice System Involved Services,Mental Health Services in Jails,132,,,,,,,,,,132
Cross Rural Offices of Social Services,2021,22XXX,Community Living Support Services,,Services management,303,22,,,,,,,,,325
Cross Rural Offices of Social Services,2021,31XXX,Community Living Support Services,,Transportation,15,1,,,1,,,,,,17
Cross Rural Offices of Social Services,2021,33340,Community Living Support Services,,Basic Needs - Rent Payments,2,,,,,,,,,,2
Cross Rural Offices of Social Services,2021,33345,Community Living Support Services,,Basic Needs - Ongoing Rent Subsidy,26,,,,,,,,,,26
Cross Rural Offices of Social Services,2021,33399,Community Living Support Services,,Basic Needs - Other,1,,,,,,,,,,1
Cross Rural Offices of Social Services,2021,41305,Community Living Support Services,,Physiological Treatment - Outpatient,9,1,,,,,,,,,10
Cross Rural Offices of Social Services,2021,41306,Community Living Support Services,,Physiological Treatment - Prescription Medicine/Vaccines,1,,,,,,,,,,1
Cross Rural Offices of Social Services,2021,63XXX,Community Living Support Services,,RCF 1-5 beds,1,,,,,,,,,,1
Cross Rural Offices of Social Services,2021,64329,Congregate Services,,Comm Based Settings (6+ Beds) - Supported Community Living,,,2,,,,,,,,2
Cross Rural Offices of Social Services,2021,64XXX,Congregate Services,,RCF-6 and over beds,8,,,,,,,,,,8
County Social Services,2021,42305,Core,Treatment,Psychotherapeutic Treatment - Outpatient,376,9,1,,,1,,,,,387
County Social Services,2021,42306,Core,Treatment,Psychotherapeutic Treatment - Medication Prescribing,535,6,5,,2,,,,,,548
County Social Services,2021,43301,Core,Treatment,Evaluation (Non Crisis) - Assessment and Evaluation,4,,33,,1,,,,,,38
County Social Services,2021,71319,Core,Treatment,State MHI Inpatient - Per diem charges,28,,2,,,,,,,,30
County Social Services,2021,73319,Core,Treatment,Other Priv./Public Hospitals - Inpatient per diem charges,3,,,,,,,,,,3
County Social Services,2021,32322,Core,Basic Crisis Response,Support Services - Personal Emergency Response System,1,,,,,,,,,,1
County Social Services,2021,44301,Core,Basic Crisis Response,Crisis Evaluation,753,289,29,2,4,1,,,,,1078
County Social Services,2021,44307,Core,Basic Crisis Response,Mobile Response,175,66,7,1,,,,,,,249
County Social Services,2021,44313,Core,Basic Crisis Response,Crisis Stabilization Residential Service (CSRS),92,32,5,,2,2,,,,,133
County Social Services,2021,44396,Core,Basic Crisis Response,Access Center start-up/sustainability/coordination,60,1,,,,,,,,,61
County Social Services,2021,32320,Core,Support for Community Living,Support Services - Home Health Aides,1,,1,,,,,,,,2
County Social Services,2021,32325,Core,Support for Community Living,Support Services - Respite Services,,,,,,,1,,,,1
County Social Services,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,120,1,43,,25,,5,,,,194
County Social Services,2021,50362,Core,Support For Employment,Voc/Day - Prevocational Services,,,,,5,,,,,,5
County Social Services,2021,50367,Core,Support For Employment,Day Habilitation,6,,11,1,8,,2,,,,28
County Social Services,2021,50368,Core,Support For Employment,Voc/Day - Individual Supported Employment,8,,15,,20,1,1,,,,45
County Social Services,2021,50369,Core,Support For Employment,Voc/Day - Group Supported Employment,2,,2,,8,,2,,,,14
County Social Services,2021,45366,Core,Recovery Services,Peer Family Support - Peer Support Services,12,,,,,,,,,,12
County Social Services,2021,24376,Core,Service Coordination,Health Homes Coordination - Coordination Services,1,,,,,,,,,,1
County Social Services,2021,64309,Core,Sub-Acute Services,Sub Acute Services (6+ Beds),40,1,4,,,,,,,,45
County Social Services,2021,42398,Core,Core Evidence Based Treatment,Assertive Community Treatment (ACT),18,,,,,,,,,,18
County Social Services,2021,74XXX,Mandated,,CommitmentRelated (except 301),766,90,22,,4,,1,,,,883
County Social Services,2021,75XXX,Mandated,,Mental health advocate,969,67,4,,,,,,,,1040
County Social Services,2021,25XXX,Core Plus,Justice System Involved Services,Coordination services,245,4,3,,2,,,,,,254
County Social Services,2021,46305,Core Plus,Justice System Involved Services,Mental Health Services in Jails,654,4,4,,3,,,,,,665
County Social Services,2021,42366,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Social Support Services,91,,3,,,,,,,,94
County Social Services,2021,22XXX,Community Living Support Services,,Services management,964,26,72,4,24,3,10,,128,,1231
County Social Services,2021,23XXX,Community Living Support Services,,Crisis Care Coordination,71,26,2,,,1,,,,,100
County Social Services,2021,31XXX,Community Living Support Services,,Transportation,256,4,32,2,14,1,5,,,,314
County Social Services,2021,32326,Community Living Support Services,,Support Services - Guardian/Conservator,73,,55,1,2,,2,,,,133
County Social Services,2021,32327,Community Living Support Services,,Support Services - Representative Payee,152,1,21,1,4,,,,,,179
County Social Services,2021,32335,Community Living Support Services,,Consumer-Directed Attendant Care,1,,,,,,1,,,,2
County Social Services,2021,33340,Community Living Support Services,,Basic Needs - Rent Payments,38,,,,,,,,,,38
County Social Services,2021,33345,Community Living Support Services,,Basic Needs - Ongoing Rent Subsidy,39,,,,,,,,,,39
County Social Services,2021,33399,Community Living Support Services,,Basic Needs - Other,22,,1,,,,,,,,23
County Social Services,2021,41305,Community Living Support Services,,Physiological Treatment - Outpatient,34,,,,,,,,,,34
County Social Services,2021,41306,Community Living Support Services,,Physiological Treatment - Prescription Medicine/Vaccines,44,,,,,,,,,,44
County Social Services,2021,41307,Community Living Support Services,,Physiological Treatment - In-Home Nursing,5,,,,,,,,,,5
County Social Services,2021,42396,Community Living Support Services,,Psychotherapeutic Treatment - Community Support Programs,15,,,,,,,,,,15
County Social Services,2021,42399,Community Living Support Services,,Psychotherapeutic Treatment - Other,5,,103,3,6,,,,,,117
County Social Services,2021,44399,Community Living Support Services,,Other Crisis Services,28,8,,,,,,,,,36
County Social Services,2021,46306,Community Living Support Services,,Prescription Medication (Psychiatric Medications in Jail),708,5,,,,,,,,,713
County Social Services,2021,63399,Community Living Support Services,,Comm Based Settings (1-5 Bed) - Other,,,,,,,1,,,,1
County Social Services,2021,64329,Congregate Services,,Comm Based Settings (6+ Beds) - Supported Community Livin,27,,5,,1,,1,,,,34
County Social Services,2021,64XXX,Congregate Services,,RCF-6 and over beds,41,1,4,,1,,1,,,,48
County Social Services,2021,11XXX,Administration,,Direct Administration,,,,,,,,,128,,128
Eastern Iowa MHDS,2021,42305,Core,Treatment,Psychotherapeutic Treatment - Outpatient,377,9,,,,,,,,,386
Eastern Iowa MHDS,2021,42306,Core,Treatment,Psychotherapeutic Treatment - Medication Prescribing,234,2,2,,,,,,,,238
Eastern Iowa MHDS,2021,43301,Core,Treatment,Evaluation (Non Crisis) - Assessment and Evaluation,,1,,,,,,,,,1
Eastern Iowa MHDS,2021,71319,Core,Treatment,State MHI Inpatient - Per diem charges,8,,,,,,,,,,8
Eastern Iowa MHDS,2021,73319,Core,Treatment,Other Priv./Public Hospitals - Inpatient per diem charges,41,3,,,,,,,,,44
Eastern Iowa MHDS,2021,44301,Core,Basic Crisis Response,Crisis Evaluation,1,,,,,,,,,,1
Eastern Iowa MHDS,2021,44313,Core,Basic Crisis Response,Crisis Stabilization Residential Service (CSRS),2,,,,,,,,,,2
Eastern Iowa MHDS,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,30,,6,,9,,,,,,45
Eastern Iowa MHDS,2021,50362,Core,Support For Employment,Voc/Day - Prevocational Services,,,1,,,,,,,,1
Eastern Iowa MHDS,2021,50364,Core,Support For Employment,Voc/Day - Job Development,,,3,,1,,,,,,4
Eastern Iowa MHDS,2021,50367,Core,Support For Employment,Day Habilitation,,,1,,,,1,,,,2
Eastern Iowa MHDS,2021,50368,Core,Support For Employment,Voc/Day - Individual Supported Employment,4,,2,,4,,1,,,,11
Eastern Iowa MHDS,2021,24376,Core,Service Coordination,Health Homes Coordination - Coordination Services,9,,,,,,,,,,9
Eastern Iowa MHDS,2021,42398,Core,Core Evidence Based Treatment,Assertive Community Treatment (ACT),12,,,,,,,,,,12
Eastern Iowa MHDS,2021,74XXX,Mandated,,CommitmentRelated (except 301),492,89,,,,,,,,,581
Eastern Iowa MHDS,2021,75XXX,Mandated,,Mental health advocate,370,51,,,,,,,,,421
Eastern Iowa MHDS,2021,42397,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Psychiatric Rehabilitation,1,,,,,,,,,,1
Eastern Iowa MHDS,2021,22XXX,Community Living Support Services,,Services management,248,54,,,,,,,,,302
Eastern Iowa MHDS,2021,23XXX,Community Living Support Services,,Crisis Care Coordination,47,,,,,,,,,,47
Eastern Iowa MHDS,2021,31XXX,Community Living Support Services,,Transportation,,,1,,1,,,,,,2
Eastern Iowa MHDS,2021,32326,Community Living Support Services,,Support Services - Guardian/Conservator,1,,,,,,,,,,1
Eastern Iowa MHDS,2021,32327,Community Living Support Services,,Support Services - Representative Payee,33,,1,,,,,,,,34
Eastern Iowa MHDS,2021,33345,Community Living Support Services,,Basic Needs - Ongoing Rent Subsidy,6,,,,,,,,,,6
Eastern Iowa MHDS,2021,33399,Community Living Support Services,,Basic Needs - Other,1,,,,,,,,,,1
Eastern Iowa MHDS,2021,41305,Community Living Support Services,,Physiological Treatment - Outpatient,1,,,,,,,,,,1
Eastern Iowa MHDS,2021,41306,Community Living Support Services,,Physiological Treatment - Prescription Medicine/Vaccines,12,,,,,,,,,,12
Eastern Iowa MHDS,2021,42396,Community Living Support Services,,Psychotherapeutic Treatment - Community Support Programs,17,,,,,,,,,,17
Eastern Iowa MHDS,2021,46306,Community Living Support Services,,Prescription Medication (Psychiatric Medications in Jail),414,28,,,,,,,,,442
Eastern Iowa MHDS,2021,63XXX,Community Living Support Services,,RCF 1-5 beds,3,,,,,,,,,,3
Eastern Iowa MHDS,2021,50360,Congregate Services,,Voc/Day - Sheltered Workshop Services,,,1,,,,,,,,1
Eastern Iowa MHDS,2021,64XXX,Congregate Services,,ICF-6 and over beds,2,,,,,,,,,,2
Eastern Iowa MHDS,2021,64XXX,Congregate Services,,RCF-6 and over beds,80,,2,,,,,,,,82
Heart of Iowa Community Services,2021,42305,Core,Treatment,Psychotherapeutic Treatment - Outpatient,36,7,,,,,,,,,43
Heart of Iowa Community Services,2021,71319,Core,Treatment,State MHI Inpatient - Per diem charges,6,,,,,,,,,,6
Heart of Iowa Community Services,2021,73319,Core,Treatment,Other Priv./Public Hospitals - Inpatient per diem charges,5,,,,,,,,,,5
Heart of Iowa Community Services,2021,32322,Core,Basic Crisis Response,Support Services - Personal Emergency Response System,1,,1,,,,,,,,2
Heart of Iowa Community Services,2021,44301,Core,Basic Crisis Response,Crisis Evaluation,145,39,,,,,,,,,184
Heart of Iowa Community Services,2021,44313,Core,Basic Crisis Response,Crisis Stabilization Residential Service (CSRS),23,,,,,,,,,,23
Heart of Iowa Community Services,2021,32320,Core,Support for Community Living,Support Services - Home Health Aides,1,,,,,,,,,,1
Heart of Iowa Community Services,2021,32325,Core,Support for Community Living,Support Services - Respite Services,2,,,,,,,,,,2
Heart of Iowa Community Services,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,18,1,9,,,,1,,,,29
Heart of Iowa Community Services,2021,50364,Core,Support For Employment,Voc/Day - Job Development,1,,,,,,,,,,1
Heart of Iowa Community Services,2021,50367,Core,Support For Employment,Day Habilitation,2,,1,,1,,,,,,4
Heart of Iowa Community Services,2021,50368,Core,Support For Employment,Voc/Day - Individual Supported Employment,5,,3,,,,,,,,8
Heart of Iowa Community Services,2021,74XXX,Mandated,,CommitmentRelated (except 301),83,2,,,,,,,,,85
Heart of Iowa Community Services,2021,75XXX,Mandated,,Mental health advocate,67,1,,,,,,,,,68
Heart of Iowa Community Services,2021,25XXX,Core Plus,Justice System Involved Services,Coordination services,309,6,,,,,,,,,315
Heart of Iowa Community Services,2021,46305,Core Plus,Justice System Involved Services,Mental Health Services in Jails,168,1,,,,,,,,,169
Heart of Iowa Community Services,2021,42366,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Social Support Services,2,4,5,5,,,,,,,16
Heart of Iowa Community Services,2021,22XXX,Community Living Support Services,,Services management,173,12,,,,,,,,,185
Heart of Iowa Community Services,2021,31XXX,Community Living Support Services,,Transportation,15,1,2,,,,,,,,18
Heart of Iowa Community Services,2021,32335,Community Living Support Services,,Consumer-Directed Attendant Care,2,,,,,,,,,,2
Heart of Iowa Community Services,2021,32399,Community Living Support Services,,Support Services - Other,2,,,,,,,,,,2
Heart of Iowa Community Services,2021,33330,Community Living Support Services,,Mobile Meals,1,,,,,,1,,,,2
Heart of Iowa Community Services,2021,33340,Community Living Support Services,,Basic Needs - Rent Payments,13,,,,,,,,,,13
Heart of Iowa Community Services,2021,33399,Community Living Support Services,,Basic Needs - Other,10,,,,,,,,,,10
Heart of Iowa Community Services,2021,41305,Community Living Support Services,,Physiological Treatment - Outpatient,1,,,,,,,,,,1
Heart of Iowa Community Services,2021,41306,Community Living Support Services,,Physiological Treatment - Prescription Medicine/Vaccines,3,1,,,,,,,,,4
Heart of Iowa Community Services,2021,41307,Community Living Support Services,,Physiological Treatment - In-Home Nursing,1,,,,,,,,,,1
Heart of Iowa Community Services,2021,42309,Community Living Support Services,,Psychotherapeutic Treatment - Partial Hospitalization,23,,,,,,,,,,23
Heart of Iowa Community Services,2021,42310,Community Living Support Services,,Psychotherapeutic Treatment - Transitional Living Program,24,,,,,,,,,,24
Heart of Iowa Community Services,2021,42396,Community Living Support Services,,Psychotherapeutic Treatment - Community Support Programs,3,4,,1,1,,,,,,9
Heart of Iowa Community Services,2021,46306,Community Living Support Services,,Prescription Medication (Psychiatric Medications in Jail),152,,,,,,,,,,152
Heart of Iowa Community Services,2021,63329,Community Living Support Services,,Comm Based Settings (1-5 Bed) - Supported Community Livin,1,,,,,,,,,,1
Heart of Iowa Community Services,2021,64329,Congregate Services,,Comm Based Settings (6+ Beds) - Supported Community Livin,1,,,,,,,,,,1
Heart of Iowa Community Services,2021,64XXX,Congregate Services,,RCF-6 and over beds,13,,,,,,,,,,13
MHDS of East Central Region,2021,42305,Core,Treatment,Psychotherapeutic Treatment - Outpatient,80,3,,,,,,,,,83
MHDS of East Central Region,2021,42306,Core,Treatment,Psychotherapeutic Treatment - Medication Prescribing,37,,,,,,,,,,37
MHDS of East Central Region,2021,71319,Core,Treatment,State MHI Inpatient - Per diem charges,22,1,,,,,,,,,23
MHDS of East Central Region,2021,73319,Core,Treatment,Other Priv./Public Hospitals - Inpatient per diem charges,4,,,,,,,,,,4
MHDS of East Central Region,2021,32322,Core,Basic Crisis Response,Support Services - Personal Emergency Response System,10,,,,,,,,,,10
MHDS of East Central Region,2021,44301,Core,Basic Crisis Response,Crisis Evaluation,211,105,,,,,,,,,316
MHDS of East Central Region,2021,44307,Core,Basic Crisis Response,Mobile Response,859,334,,,,,,,,,1193
MHDS of East Central Region,2021,44312,Core,Basic Crisis Response,Crisis Stabilization Community Based Services (CSCBS),2,,,,,,,,,,2
MHDS of East Central Region,2021,44313,Core,Basic Crisis Response,Crisis Stabilization Residential Service (CSRS),43,1,,,,,,,,,44
MHDS of East Central Region,2021,44396,Core,Basic Crisis Response,Access Center start-up/sustainability/coordination,5,,,,,,,,,,5
MHDS of East Central Region,2021,32325,Core,Support for Community Living,Support Services - Respite Services,,,1,,2,,,,,,3
MHDS of East Central Region,2021,32329,Core,Support for Community Living,Support Services - Supported Community Living,112,1,15,,31,,,,,,159
MHDS of East Central Region,2021,50362,Core,Support For Employment,Voc/Day - Prevocational Services,,,4,,3,,,,,,7
MHDS of East Central Region,2021,50364,Core,Support For Employment,Voc/Day - Job Development,27,,,,,,,,,,27
MHDS of East Central Region,2021,50367,Core,Support For Employment,Day Habilitation,14,,13,,15,,,,,,42
MHDS of East Central Region,2021,50368,Core,Support For Employment,Voc/Day - Individual Supported Employment,8,,5,,20,,,,,,33
MHDS of East Central Region,2021,45366,Core,Recovery Services,Peer Family Support - Peer Support Services,7,,,,,,,,,,7
MHDS of East Central Region,2021,64309,Core,Sub-Acute Services,Sub Acute Services (6+ Beds),1,,,,,,,,,,1
MHDS of East Central Region,2021,42398,Core,Core Evidence Based Treatment,Assertive Community Treatment (ACT),197,,,,,,,,,,197
MHDS of East Central Region,2021,74XXX,Mandated,,CommitmentRelated (except 301),1147,121,,,,,,,,,1268
MHDS of East Central Region,2021,75XXX,Mandated,,Mental health advocate,1631,25,,,,,,,,,1656
MHDS of East Central Region,2021,25XXX,Core Plus,Justice System Involved Services,Coordination services,373,8,,,,,,,,,381
MHDS of East Central Region,2021,46305,Core Plus,Justice System Involved Services,Mental Health Services in Jails,170,5,,,,,,,,,175
MHDS of East Central Region,2021,42366,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Social Support Services,422,1,,,3,,,,,,426
MHDS of East Central Region,2021,42397,Core Plus,Additional Core Evidence Based Treatment,Psychotherapeutic Treatment - Psychiatric Rehabilitation,2,,,,,,,,,,2
MHDS of East Central Region,2021,22XXX,Community Living Support Services,,Services management,677,10,85,2,125,2,,,,,901
MHDS of East Central Region,2021,31XXX,Community Living Support Services,,Transportation,130,1,11,,18,,,,,,160
MHDS of East Central Region,2021,32326,Community Living Support Services,,Support Services - Guardian/Conservator,9,,11,,1,,,,,,21
MHDS of East Central Region,2021,32399,Community Living Support Services,,Support Services - Other,1,,,,1,,,,,,2
MHDS of East Central Region,2021,33345,Community Living Support Services,,Basic Needs - Ongoing Rent Subsidy,75,,1,,,,,,,,76
MHDS of East Central Region,2021,33399,Community Living Support Services,,Basic Needs - Other,28,,1,,,,,,,,29
MHDS of East Central Region,2021,41305,Community Living Support Services,,Physiological Treatment - Outpatient,1,,,,,,,,,,1
MHDS of East Central Region,2021,41306,Community Living Support Services,,Physiological Treatment - Prescription Medicine/Vaccines,19,,,,,,,,,,19
MHDS of East Central Region,2021,41307,Community Living Support Services,,Physiological Treatment - In-Home Nursing,1,,,,,,,,,,1
MHDS of East Central Region,2021,42396,Community Living Support Services,,Psychotherapeutic Treatment - Community Support Programs,8,,,,,,,,,,8
MHDS of East Central Region,2021,42399,Community Living Support Services,,Psychotherapeutic Treatment - Other,1,,26,1,2,,,,,,30
MHDS of East Central Region,2021,46306,Community Living Support Services,,Prescription Medication (Psychiatric Medications in Jail),116,1,,,,,,,,,117
MHDS of East Central Region,2021,63XXX,Community Living Support Services,,RCF 1-5 beds,4,,,,,,,,,,4
MHDS of East Central Region,2021,64329,Congregate Services,,Comm Based Settings (6+ Beds) - Supported Community Livin,1,,,,,,,,,,1
MHDS of East Central Region,2021,64XXX,Congregate Services,,ICF-6 and over beds,1,,,,,,,,,,1
MHDS of East Central Region,2021,64XXX,Congregate Services,,RCF-6 and over beds,249,1,1,,2,,,,,,253
MHDS of East Central Region,2021,12XXX,Administration,,Purchased Administration,,,,,,,,,2,,2
MHDS of East Central Region,2021,14951,Uncategorized,,MHDS Fiscal Agent Reimbursement to MHDS Regional Members,,,,,,,,,1,,1
Polk County,2021,42305,Core Domains,Treatment,Mental health outpatient therapy,170,,,,,,,,,,170
Polk County,2021,42306,Core Domains,Treatment,Medication prescribing & management,79,,,,,,,,,,79
Polk County,2021,43301,Core Domains,Treatment,Assessment & evaluation,114,,1,,,,,,,,115
Polk County,2021,71319,Core Domains,Treatment,Mental health inpatient therapy-MHI,1,,,,,,,,,,1
Polk County,2021,73319,Core Domains,Treatment,Mental health inpatient therapy,,,,,,,,,,,0
Polk County,2021,32322,Core Domains,Crisis Services,Personal emergency response system,,,,,3,,,,,,3
Polk County,2021,44301,Core Domains,Crisis Services,Crisis evaluation,,,,,,,,,,,0
Polk County,2021,44302,Core Domains,Crisis Services,23 hour crisis observation & holding,1,,,,,,,,,,1
