"Substate Region","State","Small Area Estimate","95% CI (Lower)","95% CI (Upper)","County"
"Northwest","Iowa","4.93%","3.68%","6.56%","Humboldt"
"Northwest","Iowa","4.93%","3.68%","6.56%","Ida"
"Northwest","Iowa","4.93%","3.68%","6.56%","Lyon"
"Northwest","Iowa","4.93%","3.68%","6.56%","Monona"
"Northwest","Iowa","4.93%","3.68%","6.56%","O'Brien"
"Northwest","Iowa","4.93%","3.68%","6.56%","Osceola"
"Northwest","Iowa","4.93%","3.68%","6.56%","Palo Alto"
"Northwest","Iowa","4.93%","3.68%","6.56%","Plymouth"
"Northwest","Iowa","4.93%","3.68%","6.56%","Pocahontas"
"Northwest","Iowa","4.93%","3.68%","6.56%","Sac"
"Northwest","Iowa","4.93%","3.68%","6.56%","Shelby"
"Northwest","Iowa","4.93%","3.68%","6.56%","Sioux"
"Northwest","Iowa","4.93%","3.68%","6.56%","Webster"
"Northwest","Iowa","4.93%","3.68%","6.56%","Woodbury"
"Northwest","Iowa","4.93%","3.68%","6.56%","Wright"
"Southeast","Iowa","6.41%","4.88%","8.38%","Appanoose"
"Southeast","Iowa","6.41%","4.88%","8.38%","Cedar"
"Southeast","Iowa","6.41%","4.88%","8.38%","Davis"
"Southeast","Iowa","6.41%","4.88%","8.38%","Des Moines"
"Southeast","Iowa","6.41%","4.88%","8.38%","Henry"
"Southeast","Iowa","6.41%","4.88%","8.38%","Iowa"
"Southeast","Iowa","6.41%","4.88%","8.38%","Jefferson"
"Southeast","Iowa","6.41%","4.88%","8.38%","Johnson"
"Southeast","Iowa","6.41%","4.88%","8.38%","Keokuk"
"Southeast","Iowa","6.41%","4.88%","8.38%","Lee"
"Southeast","Iowa","6.41%","4.88%","8.38%","Louisa"
"Southeast","Iowa","6.41%","4.88%","8.38%","Lucas"
"Southeast","Iowa","6.41%","4.88%","8.38%","Mahaska"
"Southeast","Iowa","6.41%","4.88%","8.38%","Monroe"
"Southeast","Iowa","6.41%","4.88%","8.38%","Muscatine"
"Southeast","Iowa","6.41%","4.88%","8.38%","Scott"
"Southeast","Iowa","6.41%","4.88%","8.38%","Van Buren"
"Southeast","Iowa","6.41%","4.88%","8.38%","Wapello"
"Southeast","Iowa","6.41%","4.88%","8.38%","Washington"
"Southeast","Iowa","6.41%","4.88%","8.38%","Wayne"
"Southwest","Iowa","5.35%","3.94%","7.23%","Adair"
"Southwest","Iowa","5.35%","3.94%","7.23%","Adams"
"Southwest","Iowa","5.35%","3.94%","7.23%","Cass"
"Southwest","Iowa","5.35%","3.94%","7.23%","Clarke"
"Southwest","Iowa","5.35%","3.94%","7.23%","Dallas"
"Southwest","Iowa","5.35%","3.94%","7.23%","Decatur"
"Southwest","Iowa","5.35%","3.94%","7.23%","Fremont"
"Southwest","Iowa","5.35%","3.94%","7.23%","Harrison"
"Southwest","Iowa","5.35%","3.94%","7.23%","Madison"
"Southwest","Iowa","5.35%","3.94%","7.23%","Mills"
"Southwest","Iowa","5.35%","3.94%","7.23%","Montgomery"
"Southwest","Iowa","5.35%","3.94%","7.23%","Page"
"Southwest","Iowa","5.35%","3.94%","7.23%","Pottawattamie"
"Southwest","Iowa","5.35%","3.94%","7.23%","Ringgold"
"Southwest","Iowa","5.35%","3.94%","7.23%","Taylor"
"Southwest","Iowa","5.35%","3.94%","7.23%","Union"
